Date,Amount,Desc
2023-09-24,8.92,Insurance
2023-10-01,110.4,Tap invoice
2023-11-30,253.51,Rough estimate of cost going to Sthlm for xmas dinner
2023-09-28,85,"cost of getting in to leadership event (assume 2 uber trips, underground tickets and full price train return ticket (should be lower since start at lunch?)"
2023-10-24,8.92,Insurance
2023-11-24,8.92,Insurance
2023-12-24,8.92,Insurance
2023-11-01,110.4,Tap invoice
2023-12-01,110.4,Tap invoice
2024-01-01,110.4,Tap invoice
2023-09-15,657,"Date unclear, Nat just says on slack 2023-09-06 that she will pay from UK company"
2023-09-13,61.5,Outlays to get into AGM (trains and ubers)
2023-12-31,3294.2618,"Estimated tax, this doesn't go out on this date though?"
2024-02-01,110.4,Tap invoice
2024-03-01,110.4,Tap invoice
2024-04-01,110.4,Tap invoice
2024-05-01,110.4,Tap invoice
2024-06-01,110.4,Tap invoice
2024-07-01,110.4,Tap invoice
2024-08-01,110.4,Tap invoice
2025-04-01,128.4,Tap invoice
2025-05-01,128.4,Tap invoice
2025-06-01,128.4,Tap invoice
2025-07-01,128.4,Tap invoice
2025-08-01,128.4,Tap invoice
2025-09-01,128.4,Tap invoice
2025-10-01,128.4,Tap invoice
2025-11-01,128.4,Tap invoice
2025-12-01,128.4,Tap invoice
2025-04-01,8.93,Insurance
2025-05-01,8.93,Insurance
2025-06-01,8.93,Insurance
2025-07-01,8.93,Insurance
2025-08-01,0,Insurance Should have been cancelled
2025-09-01,0,Insurance Should have been cancelled
2025-10-01,0,Insurance Should have been cancelled
2025-11-01,0,Insurance Should have been cancelled
2025-12-01,0,Insurance Should have been cancelled
2025-04-01,9.5,Bank charges
2025-05-01,9.5,Bank charges
2025-06-01,9.5,Bank charges
2025-07-01,9.5,Bank charges
2025-08-01,9.5,Bank charges
2025-09-01,9.5,Bank charges
2025-10-01,9.5,Bank charges
2025-11-01,9.5,Bank charges
2025-12-01,9.5,Bank charges
2025-04-01,5120,Lars' invoice
2025-04-29,5120,Lars' invoice
2025-05-30,5120,Lars' invoice
2025-06-29,5760,Lars' invoice
2025-07-29,5760,Lars' invoice
2025-08-29,5760,Lars' invoice
2025-10-28,5760,Lars' invoice
2025-11-29,5760,Lars' invoice
2025-12-30,5760,Lars' invoice
2026-01-27,5760,Lars' invoice
2026-03-01,5760,Lars' invoice
2025-06-01,0,Assumed insurance fee. replaced by dd
2025-09-01,6730.08,"Tax estimate, wouldn't change if we update intercompany loans though?"
2025-08-01,2880,Fee for Summit prospecting
2025-09-01,2880,Fee for Summit prospecting
2025-10-01,2880,Fee for Summit prospecting
2025-07-01,65.99,Insurance
2025-08-01,65.98,Insurance
2025-09-01,65.98,Insurance
2025-10-01,65.98,Insurance
2025-11-01,65.98,Insurance
2025-12-01,65.98,Insurance
2026-01-01,65.98,Insurance
2026-02-01,65.98,Insurance
2026-03-01,65.98,Insurance
2026-04-01,65.98,Insurance
2026-05-01,65.98,Insurance
2026-06-01,65.98,Insurance
2025-12-01,261,estimated cost of dec trip
